Apyg. Nr. Apylinkės sąraše;Apygardos pavadinimas;Apyl. Nr.;Apylinkės pavadinimas;Rinkėjų skaičius Iš viso;Iš viso vyrų;Iš viso moterų
42;Šakių rajono;16;16 - Kidulių;1186;583;603
42;Šakių rajono;17;17 - Voverių;404;204;200
42;Šakių rajono;19;19 - Sudargo;616;329;287
42;Šakių rajono;20;20 - Kriūkų;699;356;343
42;Šakių rajono;21;21 - Gerdžiūnų;539;292;247
42;Šakių rajono;22;22 - Lekėčių;811;380;431
42;Šakių rajono;23;23 - Mikytų;332;166;166
42;Šakių rajono;24;24 - Lukšių;1279;596;683
42;Šakių rajono;25;25 - Liepalotų;503;269;234
42;Šakių rajono;26;26 - Sintautų;905;469;436
42;Šakių rajono;27;27 - Veršių;397;196;201
42;Šakių rajono;28;28 - Keturnaujienos;280;153;127
42;Šakių rajono;29;29 - Žvirgždaičių;406;200;206
42;Šakių rajono;30;30 - Slavikų;477;225;252
42;Šakių rajono;31;31 - Gotlybiškių;411;227;184
42;Šakių rajono;34;34 - Giedručių;746;362;384
42;Šakių rajono;35;35 - Ritinių;340;173;167
42;Šakių rajono;36;36 - Girėnų;778;385;393
42;Šakių rajono;37;37 - Briedžių;399;186;213
42;Šakių rajono;38;38 - Kudirkos Naumiesčio;1217;574;643
43;Šalčininkų rajono;1;1 - Šalčininkų;2060;887;1173
43;Šalčininkų rajono;2;2 - Centrinė miesto;2181;928;1253
43;Šalčininkų rajono;3;3 - Parko;1591;781;810
43;Šalčininkų rajono;4;4 - Šalčininkėlių;765;369;396
43;Šalčininkų rajono;5;5 - Zavišonių;544;261;283
43;Šalčininkų rajono;6;6 - Gerviškių;326;164;162
43;Šalčininkų rajono;7;7 - Tribonių;258;132;126
43;Šalčininkų rajono;8;8 - Sėlų;384;195;189
43;Šalčininkų rajono;9;9 - Čiužiakampio;521;269;252
43;Šalčininkų rajono;10;10 - Butrimonių;631;324;307
43;Šalčininkų rajono;11;11 - Jančiūnų;324;146;178
43;Šalčininkų rajono;12;12 - Eišiškių;1836;823;1013
43;Šalčininkų rajono;13;13 - Jurzdikos;535;273;262
43;Šalčininkų rajono;14;14 - Gornostajiškių;559;283;276
43;Šalčininkų rajono;15;15 - Kalesninkų;768;383;385
43;Šalčininkų rajono;16;16 - Purvėnų;572;284;288
43;Šalčininkų rajono;17;17 - Dainavos;582;289;293
43;Šalčininkų rajono;18;18 - Pabarės;562;273;289
43;Šalčininkų rajono;19;19 - Tetėnų;367;191;176
43;Šalčininkų rajono;20;20 - Jašiūnų;2226;1056;1170
43;Šalčininkų rajono;21;21 - Geležinkelio;466;233;233
43;Šalčininkų rajono;22;22 - Keidžių;284;148;136
43;Šalčininkų rajono;23;23 - Rūdninkų;440;221;219
43;Šalčininkų rajono;24;24 - Baltosios Vokės;956;464;492
43;Šalčininkų rajono;25;25 - Turgelių;937;466;471
43;Šalčininkų rajono;26;26 - Skynimų;347;185;162
43;Šalčininkų rajono;27;27 - Tabariškių;377;192;185
43;Šalčininkų rajono;28;28 - Akmenynės;534;281;253
43;Šalčininkų rajono;29;29 - Poškonių;489;263;226
43;Šalčininkų rajono;30;30 - Dieveniškių;893;456;437
43;Šalčininkų rajono;32;32 - Jurgelionių;203;98;105
43;Šalčininkų rajono;33;33 - Milkūnų;264;126;138
43;Šalčininkų rajono;34;34 - Baušių;365;173;192
43;Šalčininkų rajono;35;35 - Dailidžių;235;122;113
43;Šalčininkų rajono;37;37 - Tausiūnų;168;82;86
44;Šiaulių miesto;2;2 - Medelyno;3915;1844;2071
44;Šiaulių miesto;3;3 - Purienų;1768;780;988
44;Šiaulių miesto;4;4 - J.Basanavičiaus;2214;1005;1209
44;Šiaulių miesto;5;5 - M.K.Čiurlionio;1464;645;819
44;Šiaulių miesto;6;6 - V.Kudirkos;1882;801;1081
44;Šiaulių miesto;8;8 - Vijolių;2213;997;1216
44;Šiaulių miesto;9;9 - Jovaro;2978;1231;1747
44;Šiaulių miesto;10;10 - Parko;1391;556;835
44;Šiaulių miesto;11;11 - Varpo;2065;866;1199
44;Šiaulių miesto;13;13 - J.Janonio;2471;971;1500
44;Šiaulių miesto;15;15 - S.Šalkauskio;2100;834;1266
44;Šiaulių miesto;18;18 - Kražių;1796;731;1065
44;Šiaulių miesto;20;20 - Linkuvos;2182;914;1268
44;Šiaulių miesto;21;21 - Šimšės;2873;1261;1612
44;Šiaulių miesto;22;22 - Zoknių;2051;896;1155
44;Šiaulių miesto;23;23 - Pabalių;1688;818;870
44;Šiaulių miesto;24;24 - Ragainės;1679;751;928
44;Šiaulių miesto;25;25 - K.Donelaičio;2011;944;1067
44;Šiaulių miesto;27;27 - Verduliukų;2702;1139;1563
44;Šiaulių miesto;28;28 - Tilžės;3101;1268;1833
44;Šiaulių miesto;29;29 - Žaliūkių;2102;908;1194
44;Šiaulių miesto;30;30 - Gegužių;2359;965;1394
44;Šiaulių miesto;31;31 - S.Dariaus ir S.Girėno;2146;893;1253
44;Šiaulių miesto;33;33 - Lieporių;2861;1156;1705
44;Šiaulių miesto;34;34 - Beržyno;2090;826;1264
44;Šiaulių miesto;35;35 - Senojo Bokšto;2218;932;1286
44;Šiaulių miesto;36;36 - Dainų;2040;826;1214
44;Šiaulių miesto;37;37 - Aido;1869;783;1086
44;Šiaulių miesto;38;38 - Lyros;2036;854;1182
44;Šiaulių miesto;39;39 - Architektų;1869;801;1068
44;Šiaulių miesto;40;40 - Romuvos;3206;1345;1861
44;Šiaulių miesto;41;41 - Šventupio;3463;1496;1967
44;Šiaulių miesto;42;42 - Gytarių;2881;1273;1608
44;Šiaulių miesto;44;44 - Rėkyvos;4249;2039;2210
45;Šiaulių rajono;1;1 - Ginkūnų;3023;1449;1574
45;Šiaulių rajono;2;2 - Bridų;1576;803;773
45;Šiaulių rajono;3;3 - Vijolių;1040;532;508
45;Šiaulių rajono;4;4 - Voveriškių;944;481;463
45;Šiaulių rajono;5;5 - Gegužių;1341;727;614
45;Šiaulių rajono;6;6 - Aukštelkės;1851;981;870
45;Šiaulių rajono;7;7 - Pakapės;673;359;314
45;Šiaulių rajono;9;9 - Bubių;1095;566;529
45;Šiaulių rajono;10;10 - Gilvyčių;351;198;153
45;Šiaulių rajono;11;11 - Kurtuvėnų;660;360;300
45;Šiaulių rajono;12;12 - Bazilionų;665;361;304
45;Šiaulių rajono;13;13 - Kairių;1774;847;927
45;Šiaulių rajono;14;14 - Šilėnų;424;208;216
45;Šiaulių rajono;15;15 - Žadžiūnų;341;180;161
45;Šiaulių rajono;16;16 - Meškuičių;929;458;471
45;Šiaulių rajono;17;17 - Naisių;565;289;276
45;Šiaulių rajono;18;18 - Gruzdžių;1226;589;637
45;Šiaulių rajono;19;19 - Šiupylių;285;148;137
45;Šiaulių rajono;20;20 - Kužių;1507;753;754
45;Šiaulių rajono;21;21 - Gilaičių;240;116;124
45;Šiaulių rajono;22;22 - Verbūnų;491;247;244
45;Šiaulių rajono;23;23 - Smilgių;221;115;106
45;Šiaulių rajono;24;24 - L. Ivinskio;2103;944;1159
45;Šiaulių rajono;25;25 - Centro;994;385;609
45;Šiaulių rajono;26;26 - Gedimino;2172;1024;1148
45;Šiaulių rajono;27;27 - Pušyno;1396;656;740
45;Šiaulių rajono;28;28 - Pavenčių;1130;535;595
45;Šiaulių rajono;29;29 - Daugėlių;1516;647;869
45;Šiaulių rajono;30;30 - Micaičių;645;335;310
45;Šiaulių rajono;31;31 - Varputėnų;210;116;94
45;Šiaulių rajono;32;32 - Gergždelių;205;103;102
45;Šiaulių rajono;33;33 - Pakumulšių;344;167;177
45;Šiaulių rajono;34;34 - Drąsučių;1002;511;491
45;Šiaulių rajono;35;35 - Romučių;222;132;90
45;Šiaulių rajono;36;36 - Sauginių;388;204;184
45;Šiaulių rajono;37;37 - Raudėnų;470;239;231
45;Šiaulių rajono;38;38 - Dirvonėnų;420;194;226
45;Šiaulių rajono;39;39 - Šakynos;501;255;246
45;Šiaulių rajono;40;40 - Žarėnų;341;171;170
46;Šilalės rajono;1;1 - Šilalės;2168;937;1231
46;Šilalės rajono;2;2 - Balsių;824;405;419
46;Šilalės rajono;3;3 - Bijotų;513;268;245
46;Šilalės rajono;4;4 - Bilionių;293;162;131
46;Šilalės rajono;5;5 - Bytlaukio;339;173;166
46;Šilalės rajono;6;6 - Biržų Lauko;444;233;211
46;Šilalės rajono;7;7 - Didkiemio;202;96;106
46;Šilalės rajono;8;8 - Gineikių;306;156;150
46;Šilalės rajono;9;9 - Girdiškės;157;83;74
46;Šilalės rajono;10;10 - Iždonų;209;105;104
46;Šilalės rajono;11;11 - Jomantų;478;246;232
46;Šilalės rajono;12;12 - Jucaičių;297;138;159
46;Šilalės rajono;13;13 - Kaltinėnų;946;450;496
46;Šilalės rajono;14;14 - Kvėdarnos;1797;874;923
46;Šilalės rajono;15;15 - Laukuvos;1261;605;656
46;Šilalės rajono;16;16 - Obelyno;527;262;265
46;Šilalės rajono;17;17 - Pajūrio;933;469;464
46;Šilalės rajono;18;18 - Pajūralio;625;317;308
46;Šilalės rajono;19;19 - Požerės;308;163;145
46;Šilalės rajono;20;20 - Šiauduvos;558;279;279
46;Šilalės rajono;21;21 - Tenenių;337;190;147
46;Šilalės rajono;22;22 - Traksėdžio;775;400;375
46;Šilalės rajono;23;23 - Upynos;631;307;324
46;Šilalės rajono;24;24 - Žadeikių;549;283;266
46;Šilalės rajono;25;25 - Ligoninės;967;458;509
46;Šilalės rajono;26;26 - Palentinio;194;98;96
46;Šilalės rajono;27;27 - Gimnazijos;1705;783;922
47;Šilutės rajono;1;1 - Mokyklos;1825;811;1014
47;Šilutės rajono;2;2 - Žalgirio;2137;949;1188
47;Šilutės rajono;3;3 - Martyno Jankaus;1311;545;766
47;Šilutės rajono;4;4 - Politechnikos;1605;666;939
47;Šilutės rajono;5;5 - Tilžės;2202;984;1218
47;Šilutės rajono;6;6 - Rusnės;1127;549;578
47;Šilutės rajono;7;7 - Gardamo;659;319;340
47;Šilutės rajono;8;8 - Ramučių;149;83;66
47;Šilutės rajono;9;9 - Šylių;457;224;233
47;Šilutės rajono;10;10 - Pagrynių;1698;864;834
47;Šilutės rajono;11;11 - Traksėdžių;1123;530;593
47;Šilutės rajono;12;12 - Jonaičių;389;192;197
47;Šilutės rajono;13;13 - Juknaičių;1092;548;544
47;Šilutės rajono;14;14 - Pašyšių;760;378;382
47;Šilutės rajono;16;16 - Grabupių;597;295;302
47;Šilutės rajono;17;17 - Macikų;701;367;334
47;Šilutės rajono;18;18 - Naujakurių;1854;856;998
47;Šilutės rajono;19;19 - Žemaitkiemio;221;115;106
47;Šilutės rajono;21;21 - Saugų;1178;595;583
47;Šilutės rajono;22;22 - Kintų;1164;588;576
47;Šilutės rajono;23;23 - Vilkyčių;987;473;514
47;Šilutės rajono;24;24 - Stubrių;203;105;98
47;Šilutės rajono;26;26 - Švėkšnos;1755;864;891
47;Šilutės rajono;27;27 - Inkaklių;496;247;249
47;Šilutės rajono;28;28 - Katyčių;504;258;246
47;Šilutės rajono;29;29 - Usėnų;849;413;436
47;Šilutės rajono;30;30 - Bikavėnų;283;153;130
47;Šilutės rajono;31;31 - Gorainių;242;116;126
47;Šilutės rajono;32;32 - Kivylių;335;167;168
47;Šilutės rajono;33;33 - Vainuto;639;302;337
47;Šilutės rajono;35;35 - Lietuvininkų;660;262;398
47;Šilutės rajono;36;36 - Liepų;973;421;552
47;Šilutės rajono;37;37 - Žemaičių Naumiesčio;905;417;488
47;Šilutės rajono;38;38 - Degučių;614;315;299
47;Šilutės rajono;39;39 - Naumiesčio kaimiškoji;781;380;401
48;Širvintų rajono;1;1 - Širvintų m.;2254;961;1293
48;Širvintų rajono;2;2 - I.Šeiniaus;2870;1297;1573
48;Širvintų rajono;3;3 - Juodiškių;291;153;138
48;Širvintų rajono;4;4 - Alionių;318;178;140
48;Širvintų rajono;5;5 - Čiobiškio;361;185;176
48;Širvintų rajono;6;6 - Virvyčių;228;108;120
48;Širvintų rajono;7;7 - Bagaslaviškio;291;140;151
48;Širvintų rajono;8;8 - Gelvonų;647;349;298
48;Širvintų rajono;10;10 - Bartkuškio;402;204;198
48;Širvintų rajono;11;11 - Šiaulių;400;206;194
48;Širvintų rajono;12;12 - Medžiukų;648;341;307
48;Širvintų rajono;13;13 - Kernavės;366;191;175
48;Širvintų rajono;14;14 - Musninkų;621;327;294
48;Širvintų rajono;15;15 - Vileikiškių;303;148;155
48;Širvintų rajono;16;16 - Alekniškio;168;86;82
48;Širvintų rajono;17;17 - Družų;394;210;184
48;Širvintų rajono;18;18 - Motiejūnų;273;137;136
48;Širvintų rajono;19;19 - Širvintų kaimiškoji;615;297;318
48;Širvintų rajono;20;20 - Anciūnų;253;132;121
48;Širvintų rajono;21;21 - Kiauklių;150;77;73
48;Širvintų rajono;22;22 - Šešuolėlių;441;228;213
48;Širvintų rajono;23;23 - Viesų;167;82;85
48;Širvintų rajono;24;24 - Kielių;372;191;181
49;Švenčionių rajono;1;1 - Švenčionėlių;2019;926;1093
49;Švenčionių rajono;2;2 - Ateities;1948;848;1100
49;Švenčionių rajono;3;3 - Kaltanėnų;325;162;163
49;Švenčionių rajono;4;4 - Labanoro;218;124;94
49;Švenčionių rajono;6;6 - Pašaminės;466;251;215
49;Švenčionių rajono;7;7 - Reškutėnų;196;98;98
49;Švenčionių rajono;8;8 - Trūdų;536;268;268
49;Švenčionių rajono;9;9 - Zadvarninkų;449;231;218
49;Švenčionių rajono;10;10 - Milkuškų;282;141;141
49;Švenčionių rajono;11;11 - Stanislavavo;175;104;71
49;Švenčionių rajono;12;12 - Šventos;342;188;154
49;Švenčionių rajono;14;14 - Svirkų;585;301;284
49;Švenčionių rajono;15;15 - Adutiškio;722;347;375
49;Švenčionių rajono;17;17 - Pabradės;1420;660;760
49;Švenčionių rajono;18;18 - Kranto;2610;1172;1438
49;Švenčionių rajono;19;19 - Švenčionių;1682;684;998
49;Švenčionių rajono;20;20 - Liepų;1769;841;928
49;Švenčionių rajono;21;21 - Cirkliškio;635;315;320
49;Švenčionių rajono;22;22 - Magūnų;291;156;135
49;Švenčionių rajono;23;23 - Prienų;243;130;113
49;Švenčionių rajono;24;24 - Karkažiškės;453;233;220
49;Švenčionių rajono;26;26 - Pavoverės;590;294;296
49;Švenčionių rajono;27;27 - Sarių;311;161;150
49;Švenčionių rajono;28;28 - Strūnaičio;377;203;174
49;Švenčionių rajono;29;29 - Vidutinės;455;239;216
50;Tauragės rajono;1;1 - Prezidento;2207;943;1264
50;Tauragės rajono;2;2 - J.Tumo-Vaižganto;3183;1282;1901
50;Tauragės rajono;3;3 - Tauragės;992;416;576
50;Tauragės rajono;4;4 - Dariaus ir Girėno;2111;1001;1110
50;Tauragės rajono;5;5 - Aerodromo;2863;1340;1523
50;Tauragės rajono;6;6 - Moksleivių;2670;1046;1624
50;Tauragės rajono;7;7 - Laisvės;2497;1133;1364
50;Tauragės rajono;9;9 - Melioratorių;1092;504;588
50;Tauragės rajono;10;10 - Taurų;1690;804;886
50;Tauragės rajono;11;11 - Lauksargių;881;434;447
50;Tauragės rajono;12;12 - Kęsčių;267;133;134
50;Tauragės rajono;13;13 - Sartininkų;490;258;232
50;Tauragės rajono;14;14 - Žygaičių;742;374;368
50;Tauragės rajono;16;16 - Aukštupių;334;172;162
50;Tauragės rajono;17;17 - Dapkiškių;454;240;214
50;Tauragės rajono;18;18 - Norkaičių;655;324;331
50;Tauragės rajono;19;19 - Pagramančio;511;248;263
50;Tauragės rajono;20;20 - Mažonų;670;336;334
50;Tauragės rajono;21;21 - Lomių;329;161;168
50;Tauragės rajono;22;22 - Šakviečio;257;132;125
50;Tauragės rajono;23;23 - Juodpetrių;952;505;447
50;Tauragės rajono;24;24 - Skaudvilės;1219;557;662
50;Tauragės rajono;25;25 - Adakavo;698;351;347
50;Tauragės rajono;26;26 - Trepų;331;162;169
50;Tauragės rajono;27;27 - Vaidilų;404;204;200
50;Tauragės rajono;28;28 - Batakių;660;330;330
50;Tauragės rajono;29;29 - Eidintų;320;150;170
50;Tauragės rajono;30;30 - Gaurės;565;269;296
50;Tauragės rajono;31;31 - Kunigiškių;451;240;211
50;Tauragės rajono;32;32 - Eičių;241;99;142
50;Tauragės rajono;33;33 - Baltrušaičių;449;226;223
50;Tauragės rajono;34;34 - Dauglaukio;379;191;188
50;Tauragės rajono;35;35 - Drąslaukio;512;255;257
51;Telšių rajono;1;1 - Lygumų;2310;991;1319
51;Telšių rajono;2;2 - Masčio;2846;1176;1670
51;Telšių rajono;3;3 - Respublikos;1338;544;794
51;Telšių rajono;4;4 - Žemaitės;2915;1356;1559
51;Telšių rajono;5;5 - Muziejaus;1930;895;1035
51;Telšių rajono;6;6 - Šviesos;1621;748;873
51;Telšių rajono;7;7 - Kalno;470;216;254
51;Telšių rajono;8;8 - Kęstučio;1246;519;727
51;Telšių rajono;9;9 - Sedos;1574;654;920
51;Telšių rajono;10;10 - Prano Genio;2158;975;1183
51;Telšių rajono;11;11 - Degaičių;760;382;378
51;Telšių rajono;12;12 - Eigirdžių;673;338;335
51;Telšių rajono;13;13 - Buožėnų;1018;509;509
51;Telšių rajono;14;14 - Gedrimų;336;169;167
51;Telšių rajono;15;15 - Nevarėnų;587;287;300
51;Telšių rajono;16;16 - Mitkaičių;229;124;105
51;Telšių rajono;17;17 - Nerimdaičių;229;116;113
51;Telšių rajono;18;18 - Ubiškės;820;419;401
51;Telšių rajono;19;19 - Tryškių;995;487;508
51;Telšių rajono;20;20 - Kaunatavos;458;218;240
51;Telšių rajono;21;21 - Upynos;435;210;225
51;Telšių rajono;22;22 - Kirklių;260;136;124
51;Telšių rajono;23;23 - Luokės;659;324;335
51;Telšių rajono;24;24 - Viekšnalių;273;137;136
51;Telšių rajono;25;25 - Kuršų;303;167;136
51;Telšių rajono;26;26 - Janapolės;484;250;234
51;Telšių rajono;27;27 - Pavandenės;414;210;204
51;Telšių rajono;28;28 - Varnių;1608;786;822
51;Telšių rajono;29;29 - Žarėnų;696;340;356
51;Telšių rajono;30;30 - Ryškėnų;1977;994;983
51;Telšių rajono;31;31 - Viešvėnų;734;378;356
51;Telšių rajono;32;32 - Vembūtų;344;188;156
51;Telšių rajono;33;33 - Rainių;883;418;465
52;Trakų rajono;1;1 - Lentvario;2399;1022;1377
52;Trakų rajono;2;2 - Klevų;2683;1192;1491
52;Trakų rajono;3;3 - Trakų m.;2178;895;1283
52;Trakų rajono;10;10 - Ismonių;207;106;101
52;Trakų rajono;11;11 - Tiltų;266;134;132
52;Trakų rajono;12;12 - Rūdiškių;1906;902;1004
52;Trakų rajono;13;13 - Šklėrių;455;236;219
52;Trakų rajono;14;14 - Aukštadvario;1071;516;555
52;Trakų rajono;15;15 - Čižiūnų;331;164;167
52;Trakų rajono;17;17 - Grendavės;442;223;219
52;Trakų rajono;21;21 - Rykantų;1604;833;771
52;Trakų rajono;22;22 - Dusmenų;267;132;135
52;Trakų rajono;23;23 - Onuškio;758;381;377
52;Trakų rajono;24;24 - Vaickūniškių;262;136;126
52;Trakų rajono;25;25 - Paluknio;988;487;501
52;Trakų rajono;27;27 - Bijūnų;341;177;164
52;Trakų rajono;30;30 - Senojo Tarpupio;303;146;157
52;Trakų rajono;31;31 - Senųjų Trakų;1592;752;840
52;Trakų rajono;32;32 - Šventininkų;609;314;295
52;Trakų rajono;33;33 - Bražuolės;866;462;404
52;Trakų rajono;34;34 - Žaizdrių;972;496;476
52;Trakų rajono;35;35 - Jovariškių;332;175;157
52;Trakų rajono;40;40 - Salkininkų;431;205;226
52;Trakų rajono;41;41 - Birutės;1800;835;965
52;Trakų rajono;42;42 - Bagdononių;281;159;122
52;Trakų rajono;43;43 - Lauko;2462;1140;1322
52;Trakų rajono;44;44 - Kilimų;1801;829;972
53;Ukmergės rajono;2;2 - Anykščių;2462;1001;1461
53;Ukmergės rajono;3;3 - Maironio;1553;670;883
53;Ukmergės rajono;4;4 - J.Basanavičiaus;1350;594;756
53;Ukmergės rajono;6;6 - Kęstučio;1699;767;932
53;Ukmergės rajono;9;9 - Kauno;1886;795;1091
53;Ukmergės rajono;10;10 - Smėlių;1212;565;647
53;Ukmergės rajono;11;11 - Krekšlių;2368;1123;1245
53;Ukmergės rajono;12;12 - Linų;2348;1037;1311
53;Ukmergės rajono;13;13 - Pivonijos;2051;824;1227
53;Ukmergės rajono;14;14 - Pašilės;711;331;380
53;Ukmergės rajono;15;15 - Siesikų;999;493;506
53;Ukmergės rajono;18;18 - Taujėnų;1075;553;522
53;Ukmergės rajono;21;21 - Vidiškių;1161;575;586
53;Ukmergės rajono;22;22 - Rečionių;895;437;458
53;Ukmergės rajono;23;23 - Deltuvos;1487;731;756
53;Ukmergės rajono;24;24 - Dainavos;621;313;308
53;Ukmergės rajono;26;26 - Lyduokių;355;179;176
53;Ukmergės rajono;28;28 - Pabaisko;700;352;348
53;Ukmergės rajono;30;30 - Šešuolių;580;303;277
53;Ukmergės rajono;32;32 - Antakalnio;356;190;166
53;Ukmergės rajono;33;33 - Krikštėnų;257;138;119
53;Ukmergės rajono;34;34 - Laičių;476;231;245
53;Ukmergės rajono;35;35 - Veprių;815;391;424
53;Ukmergės rajono;37;37 - Želvos;761;380;381
53;Ukmergės rajono;40;40 - Žemaitkiemio;513;262;251
54;Utenos rajono;1;1 - Aukštakalnio;1740;758;982
54;Utenos rajono;2;2 - Taikos;2137;853;1284
54;Utenos rajono;3;3 - Aušros;1947;803;1144
54;Utenos rajono;4;4 - Dauniškio;1698;716;982
54;Utenos rajono;5;5 - Vyturių;1450;628;822
54;Utenos rajono;6;6 - Centro;865;356;509
54;Utenos rajono;7;7 - Basanavičiaus;1105;537;568
54;Utenos rajono;8;8 - Ąžuolijos;1924;900;1024
54;Utenos rajono;9;9 - Krašuonos;2058;923;1135
54;Utenos rajono;10;10 - Daugailių;438;229;209
54;Utenos rajono;11;11 - Radeikių;395;215;180
54;Utenos rajono;12;12 - Juknėnų;168;79;89
54;Utenos rajono;13;13 - Kuktiškių;596;293;303
54;Utenos rajono;14;14 - Leliūnų;494;252;242
54;Utenos rajono;15;15 - Antalgės;956;482;474
54;Utenos rajono;16;16 - Pakalnių;910;464;446
54;Utenos rajono;17;17 - Saldutiškio;404;195;209
54;Utenos rajono;18;18 - Kirdeikių;231;128;103
54;Utenos rajono;19;19 - Sudeikių;547;278;269
54;Utenos rajono;20;20 - Sirutėnų;564;304;260
54;Utenos rajono;21;21 - Tauragnų;928;466;462
54;Utenos rajono;22;22 - Pačkėnų;725;371;354
54;Utenos rajono;23;23 - Biliakiemio;635;319;316
54;Utenos rajono;24;24 - Vaikutėnų;434;230;204
54;Utenos rajono;25;25 - Užpalių;822;405;417
54;Utenos rajono;26;26 - Kaniukų;259;133;126
54;Utenos rajono;27;27 - Vilučių;134;65;69
54;Utenos rajono;28;28 - Vyžuonų;883;461;422
54;Utenos rajono;29;29 - Senamiesčio;1740;834;906
54;Utenos rajono;30;30 - Naujasodžio;1872;872;1000
54;Utenos rajono;31;31 - Smėlio;1704;741;963
54;Utenos rajono;32;32 - Sodų;1287;548;739
55;Varėnos rajono;1;1 - Puodžių;439;221;218
55;Varėnos rajono;2;2 - Žilinų;407;204;203
55;Varėnos rajono;3;3 - Dubičių;342;178;164
55;Varėnos rajono;4;4 - Panočių;374;202;172
55;Varėnos rajono;5;5 - Kabelių;298;161;137
55;Varėnos rajono;6;6 - Marcinkonių;636;326;310
55;Varėnos rajono;10;10 - Krūminių;366;200;166
55;Varėnos rajono;11;11 - Matuizų;1104;517;587
